hai,hey
nanti-nanti,Later later
research,
produk,"commodity, trade good, good"
tik,Tik
jumpa,See it
isi-isi,
kobong,
permainan,game
cair,liquid
abdul,Abdul.
raider,
gokil,Gokil
jantung,cardiac
fall,
mengatur,"dress, arrange, set, do, coif, coiffe, coiffure"
store,
list,
enakan,preferably
noob,
kolep,
bisalah,
hafiz,
kuping,"scale, scurf, exfoliation"
rain,
kopo,
membeli,buy
tebel,Tebel
saat-saat,When-time
ditambah,increase
kambing-kambing,
hatiku,
happened,
mencetak,"shape, form"
pakainya,
temannya,her friend
temanimu,Your friend
duitnya,
science,
ngetiknya,typing it
mp4,MP4
lemari,cupboard
stuff,
elemen,"component, constituent, element"
mewah,"lavishly, richly, extravagantly"
barat,west
steak,
kebal,immune
ndut,Ndut.
mouth,
luna,Luna
kencang,"blustering(a), blusterous, blustery"
bapakku,my father
ikuti,
iyan,Iyan
badai,storm
pantat,"buttocks, nates, arse, butt, backside, bum, buns, can, fundament, hindquarters, hind end, keister, posterior, prat, rear, rear end, rump, stern, seat, tail, tail end, tooshie, tush, bottom, behind, derriere, fanny, ass"
bisnis,business
doain,Prayer
sore-sore,
sembunyi,hide
kenalan,"friend, quaker"
muslim,"muslim, moslem, islamic"
karenanya,
iam,
uji,test
awak,
ussy,
sering-sering,sometimes
bird,
pasta,"pasta, alimentary paste"
sekalipun,
belakangan,Later
tanam,"plant, set"
leona,
diklik,clicked
deni,
death,Death.
kwh,
everyday,
dirinya,
west,
jacket,
muter-muter,round and round
mamah,
kelamaan,
nemenin,
selimuti,Selimuti
lafalkan,praises
far,
wars,
mencuri,"steal, slip"
tamatin,
ribut,busy
engine,
sentuh,"touch, touching"
newbie,
goblokers,
sapu,daub
dinner,
wada,
husbando,
matic,
steve,
kedinginan,cool off
someday,
no,
mangkok,mug
baka,Baka.
awards,
singing,
teori-teori,Theory-theory
qobul,Qobul
rara,Rara.
bubar,"break up, disperse, scatter"
joknya,his seat
nontonnya,watch it
tukeran,
mid,Mid.
bijian,Grain
ara,fig
lili,lily
kaila,Kaila.
driver,
jembatan,"bridge, span"
gordon,Gordon
praktek,
kamis,"thursday, th"
gelasnya,The glass is
simulator,simulator
stitch,
chatku,
wibu,
happens,
maem,Maem
chanyeol,
mawar,rose
pulsa,pulse
mentah,raw
tolong-tolong,
ditekan,pressed
tokoh,figure
lewatin,Through it
pasien,patient
pria,Men
bulat,"round, round out, round off"
aisyah,Ayesha
kaku,freeze
loud,
motif,"motivation, motive, need"
selebriti,Celebrity
yel-yel,
amanah,"trust, swear, rely, bank"
nyo,
ngertiin,
itik,duck
fals,
pantun,
jumping,
identity,
kimi,
hidupnya,
jari,finger
progress,
phone,Phone
distrik,"administrative district, administrative division, territorial division"
cupu,
diesel,Diesel
mr,
terhadap,to
ironi,"sarcasm, irony, satire, caustic remark"
tema,"subject, content, depicted object"
backup,Backup
launcher,
spasi,
yuri,Yuri.
stiker,
dangdut,
nang,Nang
edi,Edi.
lady,
ngadu,
menjeda,Acrewing
lg,
dad,
students,
bukanya,Not
isn't,
perkenalkan,introduce
ketut,Ketut
soft,
jose,Jose
betah,"habituate, accustom"
hampton,
velg,
pai,pie
parkir,parking
seakan,As if
segar,"impertinently, saucily, pertly, freshly, impudently"
rute,"path, route, itinerary"
topeng,mask
rintangan,obstruction
ngajar,taught
baiknya,good
ceo,CEO
semalam,yesterday
been,
rahasia,dark
sumber,source
kalinya,the river
merem,
diriku,
duo,
greget,
you'll,
mepet,
saint,
marine,
moral,moral
mengerikan,"atrocious, frightful, horrifying, horrible, ugly"
giliran,"knock, belt, rap, whack, whang"
stand,
kecilnya,Small
gigit,bite
bicara,"hash out, discuss, talk over"
uti,UTI
batik,batik
ibu-ibu,
freezing,
golden,
browser,
bangun-bangun,"country borage, coleus aromaticus, coleus amboinicus, plectranthus amboinicus"
seconds,
ujan,rain
write,
ngeband,
nyerah,
tenggelam,sink
tinju,boxing
pawang,Pawang
kemenangan,success
worst,
estetika,"aesthetics, esthetics"
sangat-sangat,
menemukan,find
kebakaran,"fire, firing"
tenang-tenang,calm down
mengikuti,follow
jeans,
nononono,
swift,
adc,
semangatin,
kacamatanya,
nakal,"brash, cheeky, nervy"
kudanya,
kaos,"jersey, t-shirt, tee shirt"
farm,
puter,
tadaima,
happiness,
jacks,
novi,Novi.
yatno,
sunda,
adil,"fairly, fair, clean"
teduh,"shady, shadowed, shadowy, umbrageous"
asking,
buzzle,
grab,
rangga,
indeed,indeed
teriak-teriak,shouted
petani,"countryman, ruralist"
sejam,
monetization,
sela-sela,interstice
wak,Wak
kesan,"tracing, trace"
beijing,
fenomena,phenomenon
berdasarkan,based on
tutorialnya,
ditabrak,hit
virgo,
neneknya,His grandmother
burung-burung,Birds
adiknya,
slowly,
mangan,"manganese, mn, atomic number 25"
nilainya,
tewtew,
kerupuk,shrimp crisp
tabel,
swimming,
pamit,Pamit
cafe,
pah,
diomongin,
sesi,session
ditulis,written
diketahui,
diskon,discount
twin,
sunset,Sunset
bagusnya,Good
suci,"chastely, virtuously"
jakarta,Jakarta
semacam,"alike(p), similar, like"
nadia,
cerai,divorced
deng,Deng.
dingo,Dingo
encan,Veiling
bego,Dego
cow,
favourite,
nget,Nget
ekstrim,extreme
lanjutnya,
habisnya,
setingkil,Selekil
hair,
beat,
together,
kwon,Kwon
countdown,
lee,Lee.
pengin,
benda,thing
interesting,
zat-zat,
bersyukur,"grateful, thankful"
tni,TNI.
ali,"catapult, arbalest, arbalist, ballista, bricole, mangonel, onager, trebuchet, trebucket"
benaran,
dimasukin,
ciri-ciri,
pisau,"dagger, sticker"
layarnya,
hidupku,my life
mencintai,love
royal,Royal
yani,Yani.
cari-cari,
berkurang,"relax, unstrain, unlax, loosen up, unwind, make relaxed"
neo,neo
ocd,
abah,"dad, dada, daddy, pa, papa, pappa, pop"
ngambilnya,take it
gituin,
putar-putar,go around
janda,widow
swt,SWT
ampuh,Powerfulness
mushroom,
daftar,list
paste,
kebahagiaan,happiness
diterima,
ubah,"change, alter, vary"
scary,
publik,public
nantilah,
laki-laki,male
yesterday,
candi,temple
hut,
game-game,
keselek,
uc,UC
kulihat,I see
berlalu,Own
berangkat,"departure, going, going away, leaving"
sanggup,canker
roh,spirit
sebentar-sebentar,
kawin,"coupling, mating, pairing, conjugation, union, sexual union"
akut,I
able,
sekedar,"merely, simply, just, only, but"
se,"one, 1, i, ace, single, unity"
membuatku,
yet,
mantan,
scott,
metu,Metu
danau,lake
moskow,
straight,
melek,
mendapat,get
tony,Tony.
bersahaja,"lifelike, natural"
honda,
board,
kayunya,
bbm-nya,BBM
paya,"bog, peat bog"
wanted,
introduction,Introduction
takkan,Takkan
letter,
unik,unique
min,"mean, mean value"
cerah,bright
transfer,"transportation, transport, transfer, transferral, conveyance"
kucingnya,
cuaca,weather
dijaga,
konsep,"concept, conception, construct"
perutnya,
evening,
winner,
duck,Duck.
relaxing,Relaxing.
silent,
total,complete
dih,
kebutuhan,"necessity, essential, requirement, requisite, necessary"
least,
jamnya,
breath,
kekecilan,insignificance
kenya,Kenya
sederhana,"merely, simply, just, only, but"
bisakah,can
bersemangat,enthusiastic
viewers,
temple,
dipegang,held
embek,baa
nyambung,
yks,
case,
petak,"diagram, plot"
jadilah,
macam-macam,
jealous,
nova,nova
dipilih,chosen
usir,Exile
terobos,
paha,thigh
beginian,Besinian
membangun,grow
bukunya,
jinks,
wadaw,
hore,Hooray
ujang,
frenzy,
megido,
nyebrang,
jengkol,Jengkol
following,
voli,volley
tried,
dota,
isekai,
rame-rame,
kumpulkan,Collect
celebration,
yas,
kompos,compost
nahan,
kegiatan,activity
jorok,untidy
bergerak,"be active, move"
naro,
arek,
rapat,meeting
masha,Masha
persis,exactly
keajaiban,phenomenon
ngejer,
mukul,
mamaku,
syaiful,SYAIFUL
meter,meter
words,
militer,military
tenggorokan,"throat, pharynx"
behind,
vega,
wake,
browse,
fadil,
soon,
used,
ditanyain,Asked
yakobo,
sate,satay
gg,
price,
mendukung,vouch
pihak,side
pasar,market
fany,Fany
angkanya,
bugil,Nude
ato,
hatinya,
planet,"planetal, planetary"
menantang,challenge
catatan,"run, tally"
daihatsu,
habib,Habib
rina,Rina
pedes,
koboan,Koboan.
sakitnya,the pain
percuma,While it is useless
bop,
men,
congratulation,
kelar,"notch, nick, snick"
berbohong,lie
ngeselin,
pilih-pilih,
menyebut,mention it
kode-kode,
anteng,calm
hohoho,Hohoho
kirim-kirim,Send-send
samsung,
deng-deng,
london,
izi,
counting,
holding,
press,
afternoon,
lihatnya,
bangunin,
naura,Naura.
niki,
hoodie,
emak,"ma, mama, mamma, mom, momma, mommy, mammy, mum, mummy"
angela,Angela.
cv,CV.
alvin,
tepi,peripheral
elne,
bet,Bet
tokoh-tokoh,
nantinya,Later
enya,
ikon,icon
speaker,
membuka,open
poor,
asih,Ayih
wireless,Wireless
age,
goyah,"unaffixed, loose"
biasalah,
ketombe,dandruff
terbuka,open
simpen,Simpen
keburu,Kebur.
tersendiri,Alone
doanya,
ndang,
tagged,
iphone,
mw,Mw
crying,
ours,
andre,
cacat,disabled
sheikh,"sheik, tribal sheik, sheikh, tribal sheikh, arab chief"
jerami,"bedding material, bedding, litter"
holton,
benang,cotton
serial,serial
tower,
strip,
needed,
zona,
uk,
masa-masa,
lihatin,Look at it
palsu,"counterfeit, imitative"
rencananya,
ashley,
lapangan,field
editor,"editor, editor in chief"
majalah,magazine
joget,
komedian,Comedian
eropa,Europe
rusia,
sebab,because
mungil,"bantam, diminutive, lilliputian, midget, petite, tiny, flyspeck"
diet,"waste, emaciate, macerate"
makna,mean
kacang,"cinch, breeze, picnic, snap, duck soup, child's play, pushover, walkover, piece of cake"
mang,
nutupin,Cut out
church,
pinggir,edge
khususnya,
says,
ajun,
clipper,
spider,
billing,Billing
gunawan,noble
kasus,event
digoreng,
works,
romantis,romanticize
temani,Accompany
oksigen,"oxygen, o, atomic number 8"
siti,
harganya,
agung,great
kuning-kuning,
lapor,report
gituan,
bunyinya,Ill
tari,dance
cause,
cabe,
barunya,
kenzou,Kenzou
tersesat,lost
bolak-balik,"back and forth, backward and forward, to and fro"
items,
obatnya,Medicine
ditarik,"draw, pull, pull out, get out, take out"
roof,Roof.
itukah,
arabnya,
dengarkan,
menghibur,"cheer, cheer up, jolly along, jolly up"
bukanlah,
barang-barang,"baggage, luggage"
fame,
jonathan,
snowman,
rindu,"neglect, pretermit, omit, drop, miss, leave out, overlook, overleap"
netter,
begituan,like that
terbaru,"up-to-the-minute, latest"
opsi,"option, alternative, choice"
emoh,
pantang,abstinence
spesial,"particular(a), peculiar(a), special(a)"
gaes,
dududududu,
kurus,"reduce, melt off, lose weight, slim, slenderize, thin, slim down"
front,
lapis,"coating, coat"
ateng,
terkendali,
kasurnya,
eskul,
fitri,pure
topokki,
durung,
manajemen,
gito,
hoki,hockey
minute,
jurusan,way
ronde,round
apain,
legend,
nenet,Nenet
punggung,back
ejen,"mediator, go-between, intermediator, intermediary, intercessor"
sistem,system
hias,"decorate, adorn, grace, ornament, embellish, beautify"
not-not,
irving,
dik,Dik
failed,
hatimu,
traktir,
wkwk,Wkwk.
wetan,
banting,Banting
teriakan,Shouts
kuku,nail
ultimate,Ultimate
diam-diam,"softly, quietly"
seputar,around
ngaku-ngaku,
dagang,"commercial enterprise, business enterprise, business"
digendong,scarf
cuit,Cuit
log,"logarithm, log"
hamster,hamster
salahnya,
didorong,
pegang-pegang,
ultah,Ultah
jadiin,
kuenya,
sayurnya,
konflik,"battle, conflict, fight, engagement"
ngerasain,
opini,
offside,
falling,
nempel,
papalah,
galak,actively
adegan,"scene, shot"
target,"target, butt"
sejauh,
kiranya,kindly
11.00,11.00.
najwa,
nutup,
ngangkat,lift
fact,
budak,boy
fadli,Fadli
nyetok,Dress out
launch,
george,
delete,
m-san,M-San
pi,pi
sampingnya,
baunya,
mengingatkan,remind
di-like,
ikhlas,"faithfully, dependably, reliably"
nyebur,Nyebur
kura-kura,tortoise
mateng,
poin,Poin
berbahaya,dangerous
beginilah,
menyala,"sunburn, burn"
puluh,Sentieth
strawberry,
handset,
kaela,
joki,jockey
aah,"ooh, aah"
sarapan,breakfast
round,
drone,
puji,praise
sauce,
kru,
informasi,"information, selective information, entropy"
jamsker,
mentok,"muscovy duck, musk duck, cairina moschata"
ic,
she's,
pusreng,
han,
host,
datanya,
minggir,
sis,
bantuan,"help, aid"
feels,
niatnya,
ari,
seram,Seram
viral,
pic,pitch
ino,
imagine,
terpakai,"use, utilize, utilise, apply, employ"
edo,Edo.
seat,
tebet,
tiada,"not, non"
bau-bau,
motivasi,motivation
bencana,disaster
market,
sekaligus,"all of a sudden, all at once"
intense,
ambilnya,Take it
didepan,in front of
stuck,Stuck
mainkan,
staf,staff
doaku,
kva,
remaja,adolescent
su,
ala,
ledakin,
yunus,Yunus
kedepan,
hurts,
train,
rene,
seseorangnya,Someone
nge,
iniin,
badannya,
hidayat,
tolonglah,
meong-meong,"Meow, meow"
iwa,
heru,
guest,
sinaga,
gatel,
lucu-lucu,
ucapkan,"talk, speak, utter, mouth, verbalize, verbalise"
tahi,feculent
nesya,
rider,
tidak-tidak,"No, no"
ataupun,or
turunin,Aunt
nyampe-nyampe,
inget-inget,Inget
merupakan,represent
memulai,"get down, begin, get, start out, start, set about, set out, commence"
banyaknya,
celana,trousers
hololive,
push,
vegar,
refresh,
helping,
dibanding,
you've,
problems,
understandable,
control,
mickey,
kmu,Kmu.
prepare,
rasya,
backstabbing,Backstabbing.
resort,
disamping,
klaim,claim
meneng,
cengkeh,clove
sambel,
dollar,
loncat-loncat,
komeng,
tambahin,
renault,
dukung,
lonceng,bell
kehilangan,"disappearance, disappearing"
manakah,
nambang,Nambangan
holy,
kostum,custom
akibat,"come, follow"
dudes,
lumayanlah,
segalanya,
mmm,
lotion,
wisnu,
given,
tulang,bone
renang,"swimming, swim"
nggaklah,
sunyi,"placid, quiet, still, tranquil, smooth, unruffled"
emerald,
bosnya,
menguning,turn
dekho,
anwar,
nanda,
klasik,"classical, classic"
motivation,
sebesar,
mosok,
pokok-pokok,
kobek,
pendi,
santet,Santet
komennya,
upin,
kipas,fan
kuntilanak,Kuntilanak
toys,
misi-misi,Mission
jomblo,
kubilang,I said
syahrul,
mamih,
ketakutan,"aghast(p), appalled, dismayed, shocked"
lunasi,
lebah,bee
bla,
foke,
jawabnya,
diingetin,
sinari,Sinari
keknya,Kek
kuburan,grave
02.00,
mules,
piringnya,
ketagihan,"substance abuse, drug abuse, habit"
kepotong,
sy,
mengasihi,love
tidurin,Sleeping
ado,Ado.
surprise,
peka,sensitive
tusuk,Stick
gali,Gali.
koin,coin
lololo,Lololo
karakternya,
betawi,Betawi
hay,
inul,
abi,
kimianya,
vitamin,vitamin
supercar,
patah,"tire, pall, weary, fatigue, jade"
nexus,
herbert,
jowo,
plastik-plastik,
kitty,
maulana,
ed,
pick,
pelan,slow
lumba-lumba,dolphin
ketinggian,"aggrandizement, aggrandisement, elevation"
diceritain,
living,
nampaknya,"apparently, seemingly, ostensibly, on the face of it"
menghilangkan,remove
sifat,attribute
cilik,"little, small"
shoes,
dulunya,"once, formerly, at one time, erstwhile, erst"
mui,
nato,
ngetawain,
wahai,"unfortunately, unluckily, regrettably, alas"
insya,
mutia,
kebaikan,"kindness, benignity"
yahya,Yahya
reog,Reog.
iku,
ujungnya,
kontak,contact
konyol,stupid
sekeluarga,family.
balesnya,
ngebak,Wrapped
rezky,
kobo-chan,
jelasin,
bukalah,
komplain,
donald,
aaaaaaa,
parahnya,
gogo,
kokobop,Kokobop
mai,
paulus,Paul.
dm,
buk,
uu,
azmi,
window,
pertamanya,First
tumor,"tumor, tumour, neoplasm"
klub-klub,
profile,
dimainin,
shark,
dipotong,
yovie,
restu,"blessing, benediction"
berfaedah,advantageous
tipis,"reduce, melt off, lose weight, slim, slenderize, thin, slim down"
discord,Discord
ojek,
vcd,
pasca,
scanner,
memangnya,
akal,"intend, mean, think"
bigfoot,
tinky,
curut,
cooking,
system,
gudang,"repositing, reposition, storage, warehousing"
telinga,ear
magus,Magus
rupanya,"countenance, visage"
fortnite,
ngamuk,Valuent
nusa,Nusa.
isya,Isha.
gang,passage
hemat,economical
nyanyinya,
ina,Ina
padamu,to you.
menyuruh,"order, tell, enjoin, say"
stainless,Stainless
pancing,Fishing rod
kebawah,down
tanyain,
dateng-dateng,
berharap,hope
cap,stamp
canggih,"advanced, sophisticated"
tahunya,
ngarep,
stefan,
mungkinlah,Maybe
ren,
mina,"myna, mynah, mina, minah, myna bird, mynah bird"
cowoknya,His guy
charge,
subset,
shows,
fairing,
mitsubishi,
might,
lovely,
mazing,
lepasin,
nyebelin,
eagle,
gema,"plangency, resonance, reverberance, ringing, sonorousness, sonority, vibrancy"
wiwik,
premium,"premium, insurance premium"
sawah,field
nampak,appear
lutfi,
cuek,
kopling,clutch
desi,
netizen,
tombolnya,
demam,fevered
pandai,"clever, cunning, ingenious"
datangnya,
laba-laba,spider
esa,one
dana,"contribution, donation"
mengubah,"alter, neuter, spay, castrate"
menganggap,"equal, match, equalize, equalise, equate"
senior,"aged, elderly, older, senior"
pipi,"boldness, nerve, brass, face, cheek"
kejunya,
buka-buka,
nelayan,"fisherman, fisher"
alay,over acting
audio,audiometric
knapa,While
warung,"booth, cubicle, stall, kiosk"
ngagetin,Ngagetin
smartfren,
sas,Sas.
cry,Cry.
adventure,
brunei,
pepaya,papaya
ikutan,
complete,
cotton,
warriors,
sinetron,
adjust,
berantakan,"disorganized, disorganised"
03.00,
divisi,division
ami,
bed,
scenes,
kelihatannya,"apparently, seemingly, ostensibly, on the face of it"
rizki,
lanjutin,
pakaian,"dress, clothe, enclothe, garb, raiment, tog, garment, habilitate, fit out, apparel"
kolam,pool
bergema,echo
kekeke,
wood,
maha,
slamet,Slamet
apa-apanya,What
masuknya,
kunci-kunci,
lot,lot
sobek,
honor,
bout,
aaah,
link-nya,
pool,
ngaruh,Light
gila-gila,"bacchanalian, bacchanal, bacchic, carousing, orgiastic"
op,
ketinggalan,"neglect, pretermit, omit, drop, miss, leave out, overlook, overleap"
teka-teki,puzzle
chennai,Chennai
fisik,
adam,
fase,"phase, stage"
ikhwan,"friend, quaker"
tampak,appear
husein,
garis,line
benerin,
okeoke,
titik-titik,
cepu,anther
kebayang,
lemot,
jelas-jelas,Obviously
sedangkan,whereas
trisula,trident
metafisika,metaphysics
barista,
yuhu,
sosis,sausage
instan,
praktis,practical
slide-slide,
ramma,Ramma.
since,
umay,
imei,
sister,
kolaps,
dak,
cenot,Cenot.
instead,
kalaupun,
april,April
called,
ketawa-ketawa,Laugh away
programmer,
fisika,"physics, natural philosophy"
domain,"region, realm"
populer,popular
mita,
temenku,
paginya,the morning
kifli,
sia,drain
fahrul,
dewa-dewi,
firmware,
dagingnya,
kulkas,"refrigerator, icebox"
taiwan,
tepar,sleep
mayatnya,His body
batang,bar
barangku,Force it
behel,
hack,
siapakah,
umatnya,His people
kemungkinan,possibility
copot,
tepatnya,
dendam,"revengeful, vindictive, vengeful"
nyamperin,Nyamperin
snap,
kara,"hyacinth bean, bonavist, indian bean, egyptian bean, lablab purpureus, dolichos lablab"
pelaku,"actor, doer, worker"
kumpulin,Collect
ela-ela,
sayangku,my darling
typing,
mencium,kiss
stored,Stored
hilmi,
game-nya,the game is
ngada,
adit,
menjaga,guard
gergaji,compass saw
pir,pear
bin,
siaran,broadcast
ogah,Ogah
reflek,Reflex
kepalaku,
astagah,
saget,SAGET
gt,
survivor,
mata-mata,bobby
kemaren,yesterday
between,
coboy,Coboy
khairin,
roads,Roads.
miui,
nyengat,
ngatur,
knowledge,
controller,
teks,"text, textual matter"
klub,"cabaret, nightclub, night club, club, nightspot"
fruit,
ft,
halte,stop
movies,
bullying,
however,
post,
roasting,
cincin,"ring, band"
telurnya,
ipin,
neni,
ibnu,
lia,
kubaca,I read
alami,nature
siapkan,
jatuhnya,
bercerai,"branch, ramify, fork, furcate, separate"
abby,
flip,
detil,
community,
loading,Loading
semenit,
dijual,
profesional,profession
lebat,abundant
sesat,"wide, astray"
mesir,
asalnya,
company,
ayang,
ngelewatin,
xl,
contohnya,
dipikir-pikir,
mvp,
gempi,
capek-capek,
st,
gemuk,fat
ngopo,Ngopo
pacarku,
hujannya,rain
enak-enak,delicious
aduhai,Aduhai
hak-hak,
hitung,"calculate, cipher, cypher, compute, work out, reckon, figure"
tubuhnya,
ngapa-ngapa,Anyone
angan,"think, cogitate, cerebrate"
maksa,
cah,Such
sejati,"genuine, echt"
mengganggu,"torture, excruciate, torment"
continue,
aji,
sio,Sio.
hubungi,
tuaku,
tampil,come on stage
adu,"complain, kick, plain, sound off, quetch, kvetch"
ajaib,"bizarre, eccentric, freakish, freaky, flaky, flakey, gonzo, off-the-wall, outlandish, outre"
skornya,
galon,gallon
makeup,
swing,
sociabuzz,Sociabuzz.
testing,
anata,Anata
j&t,
into,
nasution,
rose,
tingkel,
animal,
endless,
jam-jam,
mia,
setahun,
wheels,
norwich,
kesempatan,facility
pesanggrahan,
geprek,
aroma,"olfactory property, smell, aroma, odor, odour, scent"
utang,debt
jackson,
academy,
queen,
adoh,
hd,
charles,
karr,
curl,
investing,
pohonnya,
lubang,"bore, bore-hole, drill hole"
play-doh,Play-doh
puas,satisfied
selesaiin,
against,
kematiannya,
went,
land,
kesal,dejected
dibenarkan,"allow, permit, tolerate"
korban,sacrifice
whitening,
terlebih,"particularly, peculiarly, especially, specially"
rokok,cigarette
evi,
mania,"mania, manic disorder"
re,Re.
teki,"nutgrass, nut grass, nutsedge, nut sedge, cyperus rotundus"
leon,
kepulauan,Island
cara-cara,
pasalnya,Because
mengakui,"acknowledge, recognize, recognise, know"
puyeng,Puyeng.
dipukul,
generasi,generation
nyai,mistress
bangunan,building
kapanlagi,
heeh,
pedang,"sword, blade, brand, steel"
monggo,
setirnya,The steering wheel
terasa,felt
england,
volt,"volt, v"
elektrik,Electrical
late,
league,
deep,
talent,
pede,
softlens,
careful,
ndan,Ndan
important,
tag,Tag
till,
tetes,
setidaknya,at least
terhibur,"amused, diverted, entertained"
ajar,"teach, learn, instruct"
nini-nini,Granny's
keluarnya,
buanget,
liona,
emil,
stereo,"stereo, stereophony, stereo system, stereophonic system"
menikah,"marry, get married, wed, conjoin, hook up with, get hitched with, espouse"
menyentuh,"partake, touch"
bersama-sama,together
chikara,
bass,
teruslah,
muara,mouth
memutar,twisting
ham,ham
aduin,
ke-3,the 3rd
wall,Wall
itemnya,
kecelakaan,accident
nyuruh-nyuruh,Try to tell
bleach,
duwe,
cm,Cm
kapok,Kapok
cleaning,
low,
cure,
menyesal,"deplore, lament, bewail, bemoan"
nazi,
jadwalnya,
ngingetin,Ngetetin
tertawa,"laugh, express joy, express mirth"
kekeh,
cross,
dreaming,
mumpung,
hub,
sopir,driver
generation,
bioskop,"cinema, movie theater, movie theatre, movie house, picture palace"
hidungnya,His nose
retno,
gereja,abbey
antar,between
serai,"titmouse, tit"
pemain,player
jefri,Jefri.
kubawa,
menemani,accompany
abu,"cinder, clinker"
kwik,
somewhere,
bukain,
wina,
bulannya,month
duanya,
oleh-oleh,gift
supporting,
merahnya,
dimatiin,
tunjukin,
mira,
tempes,
charger,
lazuli,
suke,
gubuk,"hovel, hut, hutch, shack, shanty"
tempo,"vogue, trend, style"
gadang,"big(p), enceinte, expectant, gravid, great(p), large(p), heavy(p), with child(p)"
puter-puter,
panen,"harvest, harvesting, harvest home"
yopi,
obok,
termos,"thermos, thermos bottle, thermos flask"
melanjutkan,"carry, extend"
gen3,
tamborin,tambourine
poltergeist,
silverstar,
tempura,tempura
nit,
hansamnida,
gedang,"big(p), enceinte, expectant, gravid, great(p), large(p), heavy(p), with child(p)"
legends,
ramen,
improve,
totemo,
kamu-kamu,
rich's,
kiye,
student,
activities,
ngurus,
you,
dikubur,
celengan,"piggy bank, penny bank"
bedroom,
berikan,give
menabung,save
bersalah,"guilty, hangdog, shamefaced, shamed"
gomawo,Gomawo
objek,"object, physical object"
macetnya,
flashlight,
toksik,toxic
kit,Kit
ngegombal,
intel,
tiduran,sleeping
disconnected,
lupain,Lupain
harimau,tiger
takut-takut,shy
julius,
volumenya,
chat-an,Chat
seiring,abreast
batuk,cough
masakin,Masakin.
makanlah,Meal
sananya,
lagilah,
dihidupin,Liven up
menyatu,absorb
kemajuan,improvement
sebiji,Sebg.
kelaparan,starving
ngebaca,
available,
kebangsaan,nationality
rena,Rena
formal,formal
chiller,
dibohongin,Lied
hadroh,
gawe,
grafik,chart
sagu,sago
perbaikin,
keatas,
acaranya,
nyong,Nyong
teri,anchovy
guy,
konco,"friend, quaker"
merry,
nuno,
istimewa,meanwhile
madu,honey
pet,Pet
field,
cetakan,"print, publish"
wulan,Wulan
simpel,
kian,"beget, get, engender, father, mother, sire, generate, bring forth"
duren,Duren.
whatever,
mencret,"diarrhea, diarrhoea, looseness of the bowels, looseness"
elit,Elite
fair,
hang,
keno,
iloveyou,
selimut,"blanket, cover"
nasib,"fatal, fateful"
ambilin,
describe,
reasons,
cakep-cakep,
aktivitas,activity
g-shock,
meta,
nyanyiin,
zaskia,
reggae,reggae
fear,
cang,"taut, tight"
kwee,
needs,
ngelawak,
regita,
sembarangan,"randomly, indiscriminately, haphazardly, willy-nilly, arbitrarily, at random, every which way"
muti,
string,
menginjak,tread
chelsea,
tia,Tia
mengirim,look
minat,"pastime, interest, pursuit"
ayahnya,
little,
naya,Naya
nobody,
ngebel,
scriptnya,
tempatku,My place
ran,Ran.
ingetin,
ngebohong,
outlet,
berakhir,end
laki,"husband, hubby, married man"
biasa-biasa,Ordinary
taichan,Taichan
scroll,
cermin,mirror
mendadak,acute
mukamu,
supportnya,
karang,coral
desti,
insert,
return,
singkong,"cassava, casava"
webnya,the web
genap,"entire, full, total"
zazaazaria97,Zazaazaria97.
budiman,Budiman
aini,Aini
santuy,
norak,
menyeramkan,scary
date,Date
dedi,
temukan,
noda,stain
ditempat,
bomnya,Bomb
nella,
infonya,
mi5,
bersihin,
dibully,Dibully
rashid,
angkernya,The haunnya
sage,sage
darimana,
hadeuh,
ditagih,
kiara,
writer,
ngawur,Ngawur
material,
yesus,Jesus
kreativitas,"creativity, creativeness, creative thinking"
den-o,
websites,
add,
shower,
did,
toyota,
freed,
until,pellet
outdoor,
hendak,"intend, mean, think"
middle,
disaat,
smartphone,
listening,
battery,
subhanallah,
aamir,Aamir.
reni,Reni.
kelompok,"group, grouping"
olx,
moba,
kelima,"fifth, 5th"
nyamain,
kitab,"book, volume"
adat,"custom, usage, usance"
dibahas,
gerakin,
mutu,quality
eza,
ida,
sumaco,
ipod,
segel,"seal, stamp"
amerika,
kulitnya,
syukur,
getting,
kelewatan,"delay, holdup"
kuningan,"yellow, yellowish, xanthous"
stretch,
hit,
explain,
klaten,
recycle,
kertas,paper
henna,
doni,Doni.
faktor,factor
bangkit,"get up, turn out, arise, uprise, rise"
banyuwangi,
berterima,
c-nya,
dihitung,calculated
tour,
sopankah,Sopankah
situasi,situation
candra,Candra
togel,Togel
pesen,
manado,
haikal,
ageng,Ageng.
anting,
urusin,
virus,virus
berharga,"cute, precious"
menghitung,"count, counting, numeration, enumeration, reckoning, tally"
mejanya,His desk
wilayah,provincial
ati,liver
blink,
serat,"serrate, serrated, saw-toothed, toothed, notched"
diem-diem,
ngeledek,mock
diminum,
spion,detective
ngapus,
ngisi,
condong,"awry, amiss"
hye,
crepes,Crepes
hentai,
klok,
kenny,
tk,
finance,
kasih-kasih,
choice,
elder,
quiet,
staff,
keywords,
segampang,
editing,editing
genit,girlish
digit,"character, fiber, fibre"
okenya,Okay
okey,"okay, o.k., all right, alright"
gay,"homosexual, homophile, homo, gay"
menteri,minister
tumit,heel
tape,
onok,
midnight,
senpainya,
batre,
